Project Name,Key Tech,Description	,Link
“4”Science,AI for Science,"High-dimensional complex system simulations in modern science and engineering relies heavily on time-consuming trial-and-error parameter adjustment. Experts often need to repeatedly try for days or even weeks to find the appropriate parameter configuration. This process lacks systematic guidance and is full of repetitive labor. We are building an ""agentic"" AI collaborative researcher to transform this workflow through intelligent parameter recommendation and optimization: by intelligently summarizing literature to provide theoretical basis for parameter setting, automatically recommending and iteratively optimizing parameter configuration based on simulation results, reducing repetitive manual labor, and accelerating the process of scientific discovery.",https://www.figma.com/slides/pX0NLcfMdFo3sd6yXD6vAM/Untitled?node-id=23-240&t=RIubVRpu46AylP8F-1
PatroniX,AI for Science,"AI-Augmented Research Paper Reviewer — an autonomous agentic system that evaluates scientific papers with the depth of a peer reviewer, the speed of an LLM, and the reach of millions of published papers.",https://drive.google.com/file/d/1GIcM-i4HyC731R7PCu8eeCEROt1gUAOT/view?usp=sharing
Project Aurora,AI for Science,"Aurora is an AI-powered neuroscience system that automatically discovers and interprets the hidden structure of cognition from brain signals. Instead of manual analysis or simple classification, our SpoonOS-native platform uses multi-agent orchestration to build hierarchical cognitive manifolds, retrieve relevant scientific literature in real-time, and generate scientifically grounded hypotheses—essentially creating an automated neuroscientist that turns raw neural data into interpretable, literature-backed insights.",https://docs.google.com/presentation/d/1koxi0K3aaw24nLBq7leqc8xUsOLe3Anj1bfGM2uV61U/edit?usp=sharing
MenuScope,Open Innovation,Understand Any Dish Anywhere,https://docs.google.com/presentation/d/1cOH67oLPE1yY41TDo4ZSW4Fdh638xS1F/edit?usp=drive_web&ouid=114154423543649109227&rtpof=true
The Path Finder,Agentic Infrastructure,"Path Finder is an agentic, voice-first AI career advisor to help college students find accurate career matches and informed career choices. Our app works by having the student have a conversation with an AI voice agent, while a multi-agent system running on SpoonOS performs real-time personality inference, skill extraction, and goal modeling from a natural conversation. The agents then collaborate to produce a ranked career path list backed by confidence scores, actionable steps, curated resources, job simulations, and real-world mentor matches.",https://www.canva.com/design/DAG2RmACaKE/a5SrNL0moUAQcdue81ClQg/edit
Quant AI,Autonomous Finance & Quant AI,"A fully autonomous AI agent built with SpoonOS that monitors your wallet, decides buy/sell using simple rules, and executes real trades, no approval needed.",https://docs.google.com/document/d/1lFxT0eNiD16m30C9bBEsgRwPUOC45dXc6Mc7CH5Lbsg/edit?usp=sharing
Fuyu,Autonomous Finance & Quant AI,"Autonomous quant AI marketplace where strategies trade live, self-tune indicators, switch by regime, ingest news every 30s, and enforce risk—hands-off finance.",https://docs.google.com/presentation/d/1xNASnjrjwqCUFljM6Epl4dyAgnidOxATSlex2N-TsFc/edit?slide=id.p#slide=id.p
Orienta,Agentic Infrastructure,"What separates a wandering path from a legendary journey? Not just talent, but direction.By digitizing career counseling, it empowers users to make data-driven amazing professional decisions.",
The Path Finder,Agentic Infrastructure,"Path Finder is an agentic, voice-first AI career advisor to help college students find accurate career matches and informed career choices. Our app works by having the student have a conversation with an AI voice agent, while a multi-agent system running on SpoonOS performs real-time personality inference, skill extraction, and goal modeling from a natural conversation. The agents then collaborate to produce a ranked career path list backed by confidence scores, actionable steps, curated resources, job simulations, and real-world mentor matches.",https://www.canva.com/design/DAG2RmACaKE/a5SrNL0moUAQcdue81ClQg/edit?utm_content=DAG2RmACaKE&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton
CheckItOut,Open Innovation,"CheckItOut helps you explore what’s really happening around you — sunsets, street food, and secret spots shared by real people in real time. With Gemini and SpoonOS under the hood, it instantly understands your uploads and curates a personalized local feed that feels alive.",https://checkitout-m1hk8mm.gamma.site/
Fuyu,Autonomous Finance & Quant AI,"Autonomous quant AI marketplace: users buy strategies, while agents trade live, tune indicators, switch bots by regime, scrape news every 30s, and enforce risk controls—hands-off finance.",https://docs.google.com/presentation/d/1xNASnjrjwqCUFljM6Epl4dyAgnidOxATSlex2N-TsFc/edit?slide=id.g3a907b617e7_0_1582#slide=id.g3a907b617e7_0_1582
"Psychohistory (making sure it submitted, we submitted before 11 but our wifi isn't working well so didn't get confirmation. Also not sure if initial youtube link works so reuploaded and updated that here)",Autonomous Finance & Quant AI,"PsychoHistory helps traders and risk managers navigate market uncertainty by mapping out probability-weighted scenario paths for economic and geopolitical events. Built as a SpoonOS agent tool, it enables trading algorithms to generate research-backed forecasts on demand—so your alpha strategy can assess Fed policy scenarios, your risk engine can map contagion paths, and your portfolio optimizer can stress-test against branching futures. It's real-time scenario analysis as a service for quantitative decision-making",https://docs.google.com/presentation/d/1XwPsn8M67K1yQbHVOBRmTJ5hfZlcAQfq/edit?usp=sharing&ouid=106268374646705226863&rtpof=true&sd=true
Parallel AI,Agentic Infrastructure,Parallel AI is an agentic project management infrastructure meant to greatly streamline the development process. Using Trae we developed a SpoonOS network with agent representatives as nodes that communicate.,https://docs.google.com/presentation/d/1ub7xxDv8x8URUUoPT1QqtX2WleRmHvZS/edit?usp=sharing&ouid=114152842688843405772&rtpof=true&sd=true
Finder's Fee,Open Innovation,A Multi-Agent system for wallet enrichment.,https://www.canva.com/design/DAG5ibRtdv0/NWHDHIOqg2c0arkdhapz-Q/view?utm_content=DAG5ibRtdv0&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=hb2fd92656e
MenuScope,Open Innovation,"Understand Any Dish, Anywhere",https://docs.google.com/presentation/d/1BHGaXB_7Lf-Wv51N-lLiAWRaNpVrNwpC/edit?slide=id.p1#slide=id.p1
